requirement_id,atomic_work,ba_process,coefficient,O,M,P,expected_hours,confidence
REQ-001,write_user_story,,"",2.0,4.0,8.0,4.3,medium
REQ-001,write_acceptance_criteria,,"",2.0,4.0,8.0,4.3,medium
REQ-001,requirements_review,,"",2.0,4.0,8.0,4.3,medium
REQ-001,sign_off_obtain,,"",2.0,4.0,8.0,4.3,medium
REQ-002,document_analysis,,"",2.0,4.0,8.0,4.3,medium
REQ-002,feasibility_analysis,,"",2.0,4.0,8.0,4.3,medium
REQ-002,write_user_story,,"",2.0,4.0,8.0,4.3,medium
REQ-002,write_acceptance_criteria,,"",2.0,4.0,8.0,4.3,medium
REQ-002,sign_off_obtain,,"",2.0,4.0,8.0,4.3,medium
REQ-003,document_analysis,,"",2.0,4.0,8.0,4.3,medium
REQ-003,write_acceptance_criteria,,"",2.0,4.0,8.0,4.3,medium
REQ-003,feasibility_analysis,,"",2.0,4.0,8.0,4.3,medium
REQ-003,requirements_review,,"",2.0,4.0,8.0,4.3,medium
REQ-003,sign_off_obtain,,"",2.0,4.0,8.0,4.3,medium
